Model,PCA,pi,lambda,C,gamma,G0,G1,Accuracy,Error rate,minDCF
GMM Tied Diagonal Covariance,9,_,_,_,_,1,4,75.441,24.559,0.99375
GMM Tied Diagonal Covariance,8,_,_,_,_,1,4,75.527,24.473,0.99375
GMM Tied Covariance,8,_,_,_,_,1,8,73.849,26.151,0.99375
GMM Tied Diagonal Covariance,7,_,_,_,_,1,4,75.570,24.430,0.99375
GMM Tied Diagonal Covariance,5,_,_,_,_,1,4,75.097,24.903,0.99375
GMM Tied Diagonal Covariance,6,_,_,_,_,1,2,76.473,23.527,0.99436
GMM Tied Diagonal Covariance,0,_,_,_,_,2,4,79.097,20.903,0.99467
GMM Tied Diagonal Covariance,6,_,_,_,_,1,4,75.398,24.602,0.99500
GMM Tied Diagonal Covariance,7,_,_,_,_,1,2,76.774,23.226,0.99561
GMM Full Covariance,9,_,_,_,_,1,2,79.441,20.559,0.99625
GMM Full Covariance,8,_,_,_,_,1,2,79.269,20.731,0.99625
GMM Tied Diagonal Covariance,9,_,_,_,_,1,2,76.731,23.269,0.99686
GMM Tied Diagonal Covariance,8,_,_,_,_,1,2,76.731,23.269,0.99686
GMM Tied Diagonal Covariance,5,_,_,_,_,1,2,76.860,23.140,0.99686
GMM Diagonal Covariance,9,_,_,_,_,1,2,75.914,24.086,0.99750
GMM Tied Covariance,9,_,_,_,_,1,8,72.559,27.441,0.99750
GMM Diagonal Covariance,8,_,_,_,_,1,2,75.957,24.043,0.99750
GMM Full Covariance,7,_,_,_,_,1,2,79.484,20.516,0.99750
GMM Diagonal Covariance,7,_,_,_,_,1,2,75.871,24.129,0.99750
GMM Full Covariance,6,_,_,_,_,1,2,79.269,20.731,0.99750
GMM Diagonal Covariance,6,_,_,_,_,1,2,75.871,24.129,0.99750
GMM Tied Covariance,6,_,_,_,_,1,8,68.645,31.355,0.99750
GMM Diagonal Covariance,5,_,_,_,_,1,2,75.613,24.387,0.99750
GMM Full Covariance,5,_,_,_,_,2,4,78.624,21.376,0.99750
GMM Tied Covariance,0,_,_,_,_,1,8,71.355,28.645,0.99875
GMM Full Covariance,9,_,_,_,_,1,4,75.570,24.430,0.99875
GMM Tied Covariance,9,_,_,_,_,1,4,75.183,24.817,0.99875
GMM Full Covariance,8,_,_,_,_,1,4,76.817,23.183,0.99875
GMM Tied Covariance,8,_,_,_,_,1,4,75.957,24.043,0.99875
GMM Full Covariance,7,_,_,_,_,1,4,71.527,28.473,0.99875
GMM Tied Covariance,7,_,_,_,_,1,4,75.097,24.903,0.99875
GMM Tied Covariance,7,_,_,_,_,1,8,71.828,28.172,0.99875
GMM Full Covariance,5,_,_,_,_,1,2,78.710,21.290,0.99875
GMM Full Covariance,5,_,_,_,_,1,4,73.548,26.452,0.99875
GMM Full Covariance,0,_,_,_,_,1,4,75.656,24.344,1.00000
GMM Diagonal Covariance,0,_,_,_,_,1,4,72.258,27.742,1.00000
GMM Tied Diagonal Covariance,0,_,_,_,_,1,4,76.903,23.097,1.00000
GMM Full Covariance,0,_,_,_,_,1,8,67.269,32.731,1.00000
GMM Diagonal Covariance,0,_,_,_,_,1,8,65.892,34.108,1.00000
GMM Tied Diagonal Covariance,0,_,_,_,_,1,8,72.602,27.398,1.00000
GMM Diagonal Covariance,0,_,_,_,_,2,4,74.581,25.419,1.00000
GMM Full Covariance,0,_,_,_,_,2,8,70.925,29.075,1.00000
GMM Diagonal Covariance,0,_,_,_,_,2,8,67.699,32.301,1.00000
GMM Diagonal Covariance,0,_,_,_,_,4,4,76.903,23.097,1.00000
GMM Full Covariance,0,_,_,_,_,4,8,72.946,27.054,1.00000
GMM Diagonal Covariance,0,_,_,_,_,4,8,69.290,30.710,1.00000
GMM Diagonal Covariance,0,_,_,_,_,8,4,76.516,23.484,1.00000
GMM Full Covariance,0,_,_,_,_,8,8,72.344,27.656,1.00000
GMM Diagonal Covariance,0,_,_,_,_,8,8,69.634,30.366,1.00000
GMM Diagonal Covariance,9,_,_,_,_,1,4,74.323,25.677,1.00000
GMM Full Covariance,9,_,_,_,_,1,8,61.032,38.968,1.00000
GMM Diagonal Covariance,9,_,_,_,_,1,8,71.269,28.731,1.00000
GMM Tied Diagonal Covariance,9,_,_,_,_,1,8,75.527,24.473,1.00000
GMM Diagonal Covariance,9,_,_,_,_,2,4,81.677,18.323,1.00000
GMM Full Covariance,9,_,_,_,_,2,8,63.355,36.645,1.00000
GMM Diagonal Covariance,9,_,_,_,_,2,8,78.409,21.591,1.00000
GMM Diagonal Covariance,9,_,_,_,_,4,4,81.634,18.366,1.00000
GMM Full Covariance,9,_,_,_,_,4,8,65.376,34.624,1.00000
GMM Diagonal Covariance,9,_,_,_,_,4,8,80.215,19.785,1.00000
GMM Diagonal Covariance,9,_,_,_,_,8,4,82.194,17.806,1.00000
GMM Full Covariance,9,_,_,_,_,8,8,65.677,34.323,1.00000
GMM Diagonal Covariance,9,_,_,_,_,8,8,79.484,20.516,1.00000
GMM Diagonal Covariance,8,_,_,_,_,1,4,74.194,25.806,1.00000
GMM Full Covariance,8,_,_,_,_,1,8,56.516,43.484,1.00000
GMM Diagonal Covariance,8,_,_,_,_,1,8,70.538,29.462,1.00000
GMM Diagonal Covariance,8,_,_,_,_,2,4,81.677,18.323,1.00000
GMM Full Covariance,8,_,_,_,_,2,8,59.828,40.172,1.00000
GMM Diagonal Covariance,8,_,_,_,_,2,8,78.065,21.935,1.00000
GMM Diagonal Covariance,8,_,_,_,_,4,4,81.591,18.409,1.00000
GMM Full Covariance,8,_,_,_,_,4,8,61.290,38.710,1.00000
GMM Diagonal Covariance,8,_,_,_,_,4,8,80.086,19.914,1.00000
GMM Diagonal Covariance,8,_,_,_,_,8,4,82.237,17.763,1.00000
GMM Full Covariance,8,_,_,_,_,8,8,61.935,38.065,1.00000
GMM Diagonal Covariance,8,_,_,_,_,8,8,79.355,20.645,1.00000
GMM Diagonal Covariance,7,_,_,_,_,1,4,71.656,28.344,1.00000
GMM Full Covariance,7,_,_,_,_,1,8,43.269,56.731,1.00000
GMM Diagonal Covariance,7,_,_,_,_,1,8,68.688,31.312,1.00000
GMM Diagonal Covariance,7,_,_,_,_,2,4,78.022,21.978,1.00000
GMM Full Covariance,7,_,_,_,_,2,8,47.656,52.344,1.00000
GMM Diagonal Covariance,7,_,_,_,_,2,8,74.409,25.591,1.00000
GMM Diagonal Covariance,7,_,_,_,_,4,4,78.624,21.376,1.00000
GMM Full Covariance,7,_,_,_,_,4,8,50.108,49.892,1.00000
GMM Diagonal Covariance,7,_,_,_,_,4,8,75.699,24.301,1.00000
GMM Diagonal Covariance,7,_,_,_,_,8,4,79.613,20.387,1.00000
GMM Full Covariance,7,_,_,_,_,8,8,50.366,49.634,1.00000
GMM Diagonal Covariance,7,_,_,_,_,8,8,75.484,24.516,1.00000
GMM Full Covariance,6,_,_,_,_,1,4,71.656,28.344,1.00000
GMM Diagonal Covariance,6,_,_,_,_,1,4,70.624,29.376,1.00000
GMM Tied Covariance,6,_,_,_,_,1,4,73.720,26.280,1.00000
GMM Full Covariance,6,_,_,_,_,1,8,51.398,48.602,1.00000
GMM Diagonal Covariance,6,_,_,_,_,1,8,65.419,34.581,1.00000
GMM Full Covariance,6,_,_,_,_,2,4,76.774,23.226,1.00000
GMM Diagonal Covariance,6,_,_,_,_,2,4,75.484,24.516,1.00000
GMM Full Covariance,6,_,_,_,_,2,8,55.441,44.559,1.00000
GMM Diagonal Covariance,6,_,_,_,_,2,8,71.398,28.602,1.00000
GMM Full Covariance,6,_,_,_,_,4,4,79.011,20.989,1.00000
GMM Diagonal Covariance,6,_,_,_,_,4,4,76.989,23.011,1.00000
GMM Full Covariance,6,_,_,_,_,4,8,57.548,42.452,1.00000
GMM Diagonal Covariance,6,_,_,_,_,4,8,72.731,27.269,1.00000
GMM Full Covariance,6,_,_,_,_,8,4,79.742,20.258,1.00000
GMM Diagonal Covariance,6,_,_,_,_,8,4,77.505,22.495,1.00000
GMM Full Covariance,6,_,_,_,_,8,8,57.677,42.323,1.00000
GMM Diagonal Covariance,6,_,_,_,_,8,8,72.817,27.183,1.00000
Polynomial Kernel SVM,5,_,_,1.00000,0.00010,_,_,73.505,26.495,1.00000
Polynomial Kernel SVM,5,_,_,1.00000,0.00100,_,_,73.505,26.495,1.00000
Polynomial Kernel SVM,5,_,_,1.00000,0.01000,_,_,73.505,26.495,1.00000
Polynomial Kernel SVM,5,_,_,1.00000,0.10000,_,_,73.505,26.495,1.00000
Polynomial Kernel SVM,5,_,_,1.00000,1.00000,_,_,73.505,26.495,1.00000
GMM Diagonal Covariance,5,_,_,_,_,1,4,70.581,29.419,1.00000
GMM Tied Covariance,5,_,_,_,_,1,4,72.688,27.312,1.00000
GMM Full Covariance,5,_,_,_,_,1,8,48.473,51.527,1.00000
GMM Diagonal Covariance,5,_,_,_,_,1,8,58.710,41.290,1.00000
GMM Diagonal Covariance,5,_,_,_,_,2,4,74.624,25.376,1.00000
GMM Full Covariance,5,_,_,_,_,2,8,50.538,49.462,1.00000
GMM Diagonal Covariance,5,_,_,_,_,2,8,65.333,34.667,1.00000
GMM Diagonal Covariance,5,_,_,_,_,4,4,76.731,23.269,1.00000
GMM Full Covariance,5,_,_,_,_,4,8,52.473,47.527,1.00000
GMM Diagonal Covariance,5,_,_,_,_,4,8,67.011,32.989,1.00000
GMM Diagonal Covariance,5,_,_,_,_,8,4,77.677,22.323,1.00000
GMM Full Covariance,5,_,_,_,_,8,8,52.602,47.398,1.00000
GMM Diagonal Covariance,5,_,_,_,_,8,8,68.129,31.871,1.00000
