Model,PCA,pi,lambda,C,gamma,G0,G1,Accuracy,Error rate,minDCF
Quadratic Logistic Regression,9,0.900,1.0000000,_,_,_,_,90.366,9.634,0.10506
Quadratic Logistic Regression,6,0.900,10.0000000,_,_,_,_,88.731,11.269,0.10537
Quadratic Logistic Regression,7,0.900,1.0000000,_,_,_,_,90.323,9.677,0.10631
Quadratic Logistic Regression,7,0.900,10.0000000,_,_,_,_,88.817,11.183,0.10652
MVG,9,0.900,_,_,_,_,_,94.366,5.634,0.10692
MVG,6,0.900,_,_,_,_,_,94.366,5.634,0.10713
Quadratic Logistic Regression,5,0.900,1.0000000,_,_,_,_,89.548,10.452,0.10817
MVG,0,0.900,_,_,_,_,_,94.452,5.548,0.10870
Quadratic Logistic Regression,9,0.900,100.0000000,_,_,_,_,83.914,16.086,0.10932
MVG,8,0.900,_,_,_,_,_,94.409,5.591,0.11057
Naive Bayes,5,0.900,_,_,_,_,_,94.495,5.505,0.11078
MVG,7,0.900,_,_,_,_,_,94.366,5.634,0.11202
Quadratic Logistic Regression,0,0.900,100.0000000,_,_,_,_,83.828,16.172,0.11244
Naive Bayes,7,0.900,_,_,_,_,_,94.323,5.677,0.11276
Naive Bayes,9,0.900,_,_,_,_,_,94.194,5.806,0.11305
Quadratic Logistic Regression,8,0.900,100.0000000,_,_,_,_,83.785,16.215,0.11307
Quadratic Logistic Regression,5,0.900,10.0000000,_,_,_,_,88.129,11.871,0.11308
MVG,5,0.900,_,_,_,_,_,94.323,5.677,0.11317
Naive Bayes,6,0.900,_,_,_,_,_,94.409,5.591,0.11349
Naive Bayes,8,0.900,_,_,_,_,_,94.280,5.720,0.11391
Quadratic Logistic Regression,6,0.900,100.0000000,_,_,_,_,83.914,16.086,0.11556
Quadratic Logistic Regression,7,0.900,100.0000000,_,_,_,_,83.742,16.258,0.11650
Quadratic Logistic Regression,5,0.900,100.0000000,_,_,_,_,83.097,16.903,0.11900
Naive Bayes,0,0.900,_,_,_,_,_,92.301,7.699,0.14503
MVG with tied covariance,6,0.900,_,_,_,_,_,90.882,9.118,0.17721
MVG with tied covariance,7,0.900,_,_,_,_,_,90.882,9.118,0.17804
MVG with tied covariance,9,0.900,_,_,_,_,_,90.882,9.118,0.17877
MVG with tied covariance,0,0.900,_,_,_,_,_,90.839,9.161,0.17918
MVG with tied covariance,8,0.900,_,_,_,_,_,90.839,9.161,0.17981
Linear Logistic Regression,6,0.900,0.0000010,_,_,_,_,81.333,18.667,0.18670
Linear Logistic Regression,6,0.900,0.0001000,_,_,_,_,81.333,18.667,0.18670
Linear Logistic Regression,6,0.900,0.0010000,_,_,_,_,81.290,18.710,0.18670
Linear Logistic Regression,7,0.900,0.0000010,_,_,_,_,81.290,18.710,0.18744
Linear Logistic Regression,7,0.900,0.0001000,_,_,_,_,81.290,18.710,0.18744
Linear Logistic Regression,7,0.900,0.0010000,_,_,_,_,81.290,18.710,0.18744
Linear Logistic Regression,7,0.900,0.1000000,_,_,_,_,79.011,20.989,0.18765
Linear Logistic Regression,8,0.900,0.0000010,_,_,_,_,81.419,18.581,0.18867
Linear Logistic Regression,8,0.900,0.0001000,_,_,_,_,81.419,18.581,0.18867
Linear Logistic Regression,8,0.900,0.0010000,_,_,_,_,81.419,18.581,0.18867
MVG with tied covariance,5,0.900,_,_,_,_,_,90.452,9.548,0.18887
Linear Logistic Regression,6,0.900,0.1000000,_,_,_,_,79.011,20.989,0.18899
Linear Logistic Regression,8,0.900,0.1000000,_,_,_,_,79.054,20.946,0.18930
Linear Logistic Regression,9,0.900,0.1000000,_,_,_,_,79.226,20.774,0.19160
Linear Logistic Regression,0,0.900,0.0000010,_,_,_,_,81.161,18.839,0.19200
Linear Logistic Regression,0,0.900,0.0001000,_,_,_,_,81.118,18.882,0.19200
Linear Logistic Regression,0,0.900,0.0010000,_,_,_,_,81.075,18.925,0.19200
Linear Logistic Regression,9,0.900,0.0000010,_,_,_,_,81.118,18.882,0.19212
Linear Logistic Regression,9,0.900,0.0001000,_,_,_,_,81.118,18.882,0.19212
Linear Logistic Regression,9,0.900,0.0010000,_,_,_,_,81.118,18.882,0.19212
Linear Logistic Regression,6,0.900,1.0000000,_,_,_,_,68.344,31.656,0.19222
Linear Logistic Regression,7,0.900,1.0000000,_,_,_,_,68.258,31.742,0.19295
Linear Logistic Regression,8,0.900,1.0000000,_,_,_,_,68.516,31.484,0.19367
Linear Logistic Regression,0,0.900,0.1000000,_,_,_,_,79.785,20.215,0.19385
Linear Logistic Regression,0,0.900,1.0000000,_,_,_,_,68.903,31.097,0.19585
Linear Logistic Regression,9,0.900,1.0000000,_,_,_,_,68.645,31.355,0.19660
Linear Logistic Regression,5,0.900,0.1000000,_,_,_,_,78.925,21.075,0.19668
Naive Bayes with tied covariance,0,0.900,_,_,_,_,_,88.473,11.527,0.19720
Linear Logistic Regression,5,0.900,0.0000010,_,_,_,_,81.032,18.968,0.19761
Linear Logistic Regression,5,0.900,0.0001000,_,_,_,_,81.032,18.968,0.19761
Linear Logistic Regression,5,0.900,0.0010000,_,_,_,_,80.989,19.011,0.19761
Linear Logistic Regression,9,0.900,10.0000000,_,_,_,_,34.452,65.548,0.19784
Linear Logistic Regression,0,0.900,10.0000000,_,_,_,_,34.452,65.548,0.19825
Naive Bayes with tied covariance,9,0.900,_,_,_,_,_,89.118,10.882,0.19845
Naive Bayes with tied covariance,8,0.900,_,_,_,_,_,89.204,10.796,0.19876
Linear Logistic Regression,6,0.900,10.0000000,_,_,_,_,34.452,65.548,0.19950
Linear Logistic Regression,8,0.900,10.0000000,_,_,_,_,34.452,65.548,0.19961
Naive Bayes with tied covariance,6,0.900,_,_,_,_,_,89.290,10.710,0.19970
Linear Logistic Regression,5,0.900,1.0000000,_,_,_,_,68.344,31.656,0.20011
Linear Logistic Regression,7,0.900,10.0000000,_,_,_,_,34.452,65.548,0.20023
Naive Bayes with tied covariance,7,0.900,_,_,_,_,_,89.204,10.796,0.20043
Naive Bayes with tied covariance,5,0.900,_,_,_,_,_,89.161,10.839,0.20333
Linear Logistic Regression,9,0.900,100.0000000,_,_,_,_,34.409,65.591,0.20773
Linear Logistic Regression,8,0.900,100.0000000,_,_,_,_,34.409,65.591,0.20856
Linear Logistic Regression,7,0.900,100.0000000,_,_,_,_,34.409,65.591,0.20866
Linear Logistic Regression,6,0.900,100.0000000,_,_,_,_,34.409,65.591,0.20866
Linear Logistic Regression,5,0.900,10.0000000,_,_,_,_,34.452,65.548,0.20867
Linear Logistic Regression,0,0.900,100.0000000,_,_,_,_,34.409,65.591,0.20908
Linear Logistic Regression,5,0.900,100.0000000,_,_,_,_,34.409,65.591,0.21418
Radial Basis Function Kernel SVM,8,_,_,0.00100,0.10000,_,_,65.591,34.409,0.21586
Radial Basis Function Kernel SVM,8,_,_,0.10000,0.10000,_,_,65.591,34.409,0.21586
Radial Basis Function Kernel SVM,8,_,_,0.01000,0.10000,_,_,65.591,34.409,0.21678
Radial Basis Function Kernel SVM,8,_,_,1.00000,0.10000,_,_,87.054,12.946,0.21678
Radial Basis Function Kernel SVM,5,_,_,1.00000,0.10000,_,_,95.527,4.473,0.22332
Radial Basis Function Kernel SVM,6,_,_,1.00000,0.10000,_,_,93.118,6.882,0.22518
Radial Basis Function Kernel SVM,0,_,_,1.00000,0.01000,_,_,96.731,3.269,0.23176
Radial Basis Function Kernel SVM,7,_,_,1.00000,0.10000,_,_,89.247,10.753,0.23398
Radial Basis Function Kernel SVM,9,_,_,1.00000,0.01000,_,_,96.430,3.570,0.23490
Radial Basis Function Kernel SVM,7,_,_,0.01000,0.10000,_,_,65.591,34.409,0.23834
Radial Basis Function Kernel SVM,6,_,_,0.00100,0.10000,_,_,65.591,34.409,0.24121
Radial Basis Function Kernel SVM,6,_,_,0.01000,0.10000,_,_,65.591,34.409,0.24121
Radial Basis Function Kernel SVM,6,_,_,0.10000,0.10000,_,_,65.677,34.323,0.24121
Polynomial Kernel SVM,7,_,_,0.01000,0.00010,_,_,91.957,8.043,0.24240
Polynomial Kernel SVM,7,_,_,0.01000,0.00100,_,_,91.957,8.043,0.24240
Polynomial Kernel SVM,7,_,_,0.01000,0.01000,_,_,91.957,8.043,0.24240
Polynomial Kernel SVM,7,_,_,0.01000,0.10000,_,_,91.957,8.043,0.24240
Polynomial Kernel SVM,7,_,_,0.01000,1.00000,_,_,91.957,8.043,0.24240
Radial Basis Function Kernel SVM,9,_,_,0.00010,0.10000,_,_,65.591,34.409,0.24307
Quadratic Logistic Regression,7,0.500,0.0000010,_,_,_,_,95.226,4.774,0.24525
Quadratic Logistic Regression,7,0.500,0.0001000,_,_,_,_,95.226,4.774,0.24650
Quadratic SVM,0,_,_,0.01000,0.00010,_,_,92.129,7.871,0.24678
Quadratic SVM,0,_,_,0.01000,0.00100,_,_,92.129,7.871,0.24678
Quadratic SVM,0,_,_,0.01000,0.01000,_,_,92.129,7.871,0.24678
Quadratic SVM,0,_,_,0.01000,0.10000,_,_,92.129,7.871,0.24678
Quadratic SVM,0,_,_,0.01000,1.00000,_,_,92.129,7.871,0.24678
Quadratic Logistic Regression,7,0.500,0.0010000,_,_,_,_,95.226,4.774,0.25025
Quadratic Logistic Regression,6,0.500,0.0000010,_,_,_,_,95.269,4.731,0.25025
Quadratic Logistic Regression,6,0.500,0.0001000,_,_,_,_,95.269,4.731,0.25150
Quadratic Logistic Regression,6,0.500,0.0010000,_,_,_,_,95.269,4.731,0.25150
Radial Basis Function Kernel SVM,9,_,_,0.01000,0.10000,_,_,65.591,34.409,0.25213
Radial Basis Function Kernel SVM,9,_,_,0.10000,0.10000,_,_,65.591,34.409,0.25213
Radial Basis Function Kernel SVM,9,_,_,1.00000,0.10000,_,_,86.452,13.548,0.25213
Radial Basis Function Kernel SVM,9,_,_,0.00100,0.10000,_,_,65.591,34.409,0.25242
Polynomial Kernel SVM,7,_,_,0.10000,0.00010,_,_,86.753,13.247,0.25303
Polynomial Kernel SVM,7,_,_,0.10000,0.00100,_,_,86.753,13.247,0.25303
Polynomial Kernel SVM,7,_,_,0.10000,0.01000,_,_,86.753,13.247,0.25303
Polynomial Kernel SVM,7,_,_,0.10000,0.10000,_,_,86.753,13.247,0.25303
Polynomial Kernel SVM,7,_,_,0.10000,1.00000,_,_,86.753,13.247,0.25303
Radial Basis Function Kernel SVM,6,_,_,1.00000,0.01000,_,_,96.301,3.699,0.25363
Quadratic SVM,7,_,_,0.10000,0.00010,_,_,85.634,14.366,0.25740
Quadratic SVM,7,_,_,0.10000,0.00100,_,_,85.634,14.366,0.25740
Quadratic SVM,7,_,_,0.10000,0.01000,_,_,85.634,14.366,0.25740
Quadratic SVM,7,_,_,0.10000,0.10000,_,_,85.634,14.366,0.25740
Quadratic SVM,7,_,_,0.10000,1.00000,_,_,85.634,14.366,0.25740
Polynomial Kernel SVM,7,_,_,0.00100,0.00010,_,_,95.226,4.774,0.25959
Polynomial Kernel SVM,7,_,_,0.00100,0.00100,_,_,95.226,4.774,0.25959
Polynomial Kernel SVM,7,_,_,0.00100,0.01000,_,_,95.226,4.774,0.25959
Polynomial Kernel SVM,7,_,_,0.00100,0.10000,_,_,95.226,4.774,0.25959
Polynomial Kernel SVM,7,_,_,0.00100,1.00000,_,_,95.226,4.774,0.25959
Quadratic Logistic Regression,9,0.500,0.0000010,_,_,_,_,95.312,4.688,0.26018
Quadratic Logistic Regression,9,0.500,0.0001000,_,_,_,_,95.226,4.774,0.26018
Quadratic Logistic Regression,8,0.500,0.0001000,_,_,_,_,95.183,4.817,0.26023
Radial Basis Function Kernel SVM,8,_,_,1.00000,0.01000,_,_,96.774,3.226,0.26049
Quadratic Logistic Regression,0,0.500,0.0010000,_,_,_,_,95.656,4.344,0.26082
Quadratic Logistic Regression,0,0.500,0.0001000,_,_,_,_,95.613,4.387,0.26113
Quadratic Logistic Regression,8,0.500,0.0000010,_,_,_,_,95.226,4.774,0.26148
Polynomial Kernel SVM,6,_,_,0.01000,0.00010,_,_,92.172,7.828,0.26178
Polynomial Kernel SVM,6,_,_,0.01000,0.00100,_,_,92.172,7.828,0.26178
Polynomial Kernel SVM,6,_,_,0.01000,0.01000,_,_,92.172,7.828,0.26178
Polynomial Kernel SVM,6,_,_,0.01000,0.10000,_,_,92.172,7.828,0.26178
Polynomial Kernel SVM,6,_,_,0.01000,1.00000,_,_,92.172,7.828,0.26178
Quadratic SVM,6,_,_,0.01000,0.00010,_,_,92.043,7.957,0.26242
Quadratic SVM,6,_,_,0.01000,0.00100,_,_,92.043,7.957,0.26242
Quadratic SVM,6,_,_,0.01000,0.01000,_,_,92.043,7.957,0.26242
Quadratic SVM,6,_,_,0.01000,0.10000,_,_,92.043,7.957,0.26242
Quadratic SVM,6,_,_,0.01000,1.00000,_,_,92.043,7.957,0.26242
Quadratic SVM,8,_,_,0.01000,0.00010,_,_,91.226,8.774,0.26270
Quadratic SVM,8,_,_,0.01000,0.00100,_,_,91.226,8.774,0.26270
Quadratic SVM,8,_,_,0.01000,0.01000,_,_,91.226,8.774,0.26270
Quadratic SVM,8,_,_,0.01000,0.10000,_,_,91.226,8.774,0.26270
Quadratic SVM,8,_,_,0.01000,1.00000,_,_,91.226,8.774,0.26270
Quadratic Logistic Regression,8,0.500,0.0010000,_,_,_,_,95.226,4.774,0.26273
Quadratic Logistic Regression,0,0.500,0.0000010,_,_,_,_,95.613,4.387,0.26332
Polynomial Kernel SVM,9,_,_,0.00100,0.00010,_,_,95.054,4.946,0.26332
Polynomial Kernel SVM,9,_,_,0.00100,0.00100,_,_,95.054,4.946,0.26332
Polynomial Kernel SVM,9,_,_,0.00100,0.01000,_,_,95.054,4.946,0.26332
Polynomial Kernel SVM,9,_,_,0.00100,0.10000,_,_,95.054,4.946,0.26332
Polynomial Kernel SVM,9,_,_,0.00100,1.00000,_,_,95.054,4.946,0.26332
Radial Basis Function Kernel SVM,5,_,_,1.00000,0.01000,_,_,95.828,4.172,0.26428
Polynomial Kernel SVM,9,_,_,0.01000,0.00010,_,_,91.355,8.645,0.26490
Polynomial Kernel SVM,9,_,_,0.01000,0.00100,_,_,91.355,8.645,0.26490
Polynomial Kernel SVM,9,_,_,0.01000,0.01000,_,_,91.355,8.645,0.26490
Polynomial Kernel SVM,9,_,_,0.01000,0.10000,_,_,91.355,8.645,0.26490
Polynomial Kernel SVM,9,_,_,0.01000,1.00000,_,_,91.355,8.645,0.26490
Polynomial Kernel SVM,6,_,_,0.10000,0.00010,_,_,85.462,14.538,0.26492
Polynomial Kernel SVM,6,_,_,0.10000,0.00100,_,_,85.462,14.538,0.26492
Polynomial Kernel SVM,6,_,_,0.10000,0.01000,_,_,85.462,14.538,0.26492
Polynomial Kernel SVM,6,_,_,0.10000,0.10000,_,_,85.462,14.538,0.26492
Polynomial Kernel SVM,6,_,_,0.10000,1.00000,_,_,85.462,14.538,0.26492
Polynomial Kernel SVM,8,_,_,0.01000,0.00010,_,_,91.269,8.731,0.26551
Polynomial Kernel SVM,8,_,_,0.01000,0.00100,_,_,91.269,8.731,0.26551
Polynomial Kernel SVM,8,_,_,0.01000,0.01000,_,_,91.269,8.731,0.26551
Polynomial Kernel SVM,8,_,_,0.01000,0.10000,_,_,91.269,8.731,0.26551
Polynomial Kernel SVM,8,_,_,0.01000,1.00000,_,_,91.269,8.731,0.26551
Quadratic Logistic Regression,9,0.500,0.0010000,_,_,_,_,95.312,4.688,0.26553
Quadratic SVM,7,_,_,0.01000,0.00010,_,_,91.527,8.473,0.26645
Quadratic SVM,7,_,_,0.01000,0.00100,_,_,91.527,8.473,0.26645
Quadratic SVM,7,_,_,0.01000,0.01000,_,_,91.527,8.473,0.26645
Quadratic SVM,7,_,_,0.01000,0.10000,_,_,91.527,8.473,0.26645
Quadratic SVM,7,_,_,0.01000,1.00000,_,_,91.527,8.473,0.26645
Radial Basis Function Kernel SVM,7,_,_,1.00000,0.01000,_,_,96.301,3.699,0.26869
Quadratic SVM,6,_,_,0.10000,0.00010,_,_,86.323,13.677,0.27023
Quadratic SVM,6,_,_,0.10000,0.00100,_,_,86.323,13.677,0.27023
Quadratic SVM,6,_,_,0.10000,0.01000,_,_,86.323,13.677,0.27023
Quadratic SVM,6,_,_,0.10000,0.10000,_,_,86.323,13.677,0.27023
Quadratic SVM,6,_,_,0.10000,1.00000,_,_,86.323,13.677,0.27023
Polynomial Kernel SVM,5,_,_,0.01000,0.00010,_,_,90.925,9.075,0.27240
Polynomial Kernel SVM,5,_,_,0.01000,0.00100,_,_,90.925,9.075,0.27240
Polynomial Kernel SVM,5,_,_,0.01000,0.01000,_,_,90.925,9.075,0.27240
Polynomial Kernel SVM,5,_,_,0.01000,0.10000,_,_,90.925,9.075,0.27240
Polynomial Kernel SVM,5,_,_,0.01000,1.00000,_,_,90.925,9.075,0.27240
Radial Basis Function Kernel SVM,8,_,_,1.00000,0.00100,_,_,95.527,4.473,0.27365
Radial Basis Function Kernel SVM,9,_,_,1.00000,0.00100,_,_,95.570,4.430,0.27395
Polynomial Kernel SVM,6,_,_,0.00100,0.00010,_,_,95.140,4.860,0.27459
Polynomial Kernel SVM,6,_,_,0.00100,0.00100,_,_,95.140,4.860,0.27459
Polynomial Kernel SVM,6,_,_,0.00100,0.01000,_,_,95.140,4.860,0.27459
Polynomial Kernel SVM,6,_,_,0.00100,0.10000,_,_,95.140,4.860,0.27459
Polynomial Kernel SVM,6,_,_,0.00100,1.00000,_,_,95.140,4.860,0.27459
Radial Basis Function Kernel SVM,0,_,_,1.00000,0.00100,_,_,95.527,4.473,0.27490
Polynomial Kernel SVM,8,_,_,0.00100,0.00010,_,_,95.355,4.645,0.27490
Polynomial Kernel SVM,8,_,_,0.00100,0.00100,_,_,95.355,4.645,0.27490
Polynomial Kernel SVM,8,_,_,0.00100,0.01000,_,_,95.355,4.645,0.27490
Polynomial Kernel SVM,8,_,_,0.00100,0.10000,_,_,95.355,4.645,0.27490
Polynomial Kernel SVM,8,_,_,0.00100,1.00000,_,_,95.355,4.645,0.27490
Radial Basis Function Kernel SVM,6,_,_,1.00000,0.00100,_,_,95.742,4.258,0.27770
Quadratic SVM,5,_,_,0.01000,0.00010,_,_,91.312,8.688,0.28018
Quadratic SVM,5,_,_,0.01000,0.00100,_,_,91.312,8.688,0.28018
Quadratic SVM,5,_,_,0.01000,0.01000,_,_,91.312,8.688,0.28018
Quadratic SVM,5,_,_,0.01000,0.10000,_,_,91.312,8.688,0.28018
Quadratic SVM,5,_,_,0.01000,1.00000,_,_,91.312,8.688,0.28018
Radial Basis Function Kernel SVM,5,_,_,0.00100,0.10000,_,_,65.591,34.409,0.28111
Radial Basis Function Kernel SVM,5,_,_,0.01000,0.10000,_,_,65.591,34.409,0.28111
Radial Basis Function Kernel SVM,5,_,_,0.10000,0.10000,_,_,68.946,31.054,0.28111
Quadratic SVM,8,_,_,0.00010,0.00010,_,_,95.097,4.903,0.28115
Quadratic SVM,8,_,_,0.00010,0.00100,_,_,95.097,4.903,0.28115
Quadratic SVM,8,_,_,0.00010,0.01000,_,_,95.097,4.903,0.28115
Quadratic SVM,8,_,_,0.00010,0.10000,_,_,95.097,4.903,0.28115
Quadratic SVM,8,_,_,0.00010,1.00000,_,_,95.097,4.903,0.28115
Quadratic SVM,0,_,_,0.10000,0.00010,_,_,84.473,15.527,0.28178
Quadratic SVM,0,_,_,0.10000,0.00100,_,_,84.473,15.527,0.28178
Quadratic SVM,0,_,_,0.10000,0.01000,_,_,84.473,15.527,0.28178
Quadratic SVM,0,_,_,0.10000,0.10000,_,_,84.473,15.527,0.28178
Quadratic SVM,0,_,_,0.10000,1.00000,_,_,84.473,15.527,0.28178
Radial Basis Function Kernel SVM,7,_,_,1.00000,0.00100,_,_,95.656,4.344,0.28209
Polynomial Kernel SVM,0,_,_,0.01000,0.00010,_,_,91.699,8.301,0.28273
Polynomial Kernel SVM,0,_,_,0.01000,0.00100,_,_,91.699,8.301,0.28273
Polynomial Kernel SVM,0,_,_,0.01000,0.01000,_,_,91.699,8.301,0.28273
Polynomial Kernel SVM,0,_,_,0.01000,0.10000,_,_,91.699,8.301,0.28273
Polynomial Kernel SVM,0,_,_,0.01000,1.00000,_,_,91.699,8.301,0.28273
Quadratic Logistic Regression,5,0.500,0.0000010,_,_,_,_,95.183,4.817,0.28273
Quadratic Logistic Regression,5,0.500,0.0001000,_,_,_,_,95.183,4.817,0.28273
Quadratic Logistic Regression,5,0.500,0.0010000,_,_,_,_,95.183,4.817,0.28273
Quadratic SVM,9,_,_,0.00100,0.00010,_,_,95.312,4.688,0.28301
Quadratic SVM,9,_,_,0.00100,0.00100,_,_,95.312,4.688,0.28301
Quadratic SVM,9,_,_,0.00100,0.01000,_,_,95.312,4.688,0.28301
Quadratic SVM,9,_,_,0.00100,0.10000,_,_,95.312,4.688,0.28301
Quadratic SVM,9,_,_,0.00100,1.00000,_,_,95.312,4.688,0.28301
Polynomial Kernel SVM,8,_,_,0.10000,0.00010,_,_,85.505,14.495,0.28365
Polynomial Kernel SVM,8,_,_,0.10000,0.00100,_,_,85.505,14.495,0.28365
Polynomial Kernel SVM,8,_,_,0.10000,0.01000,_,_,85.505,14.495,0.28365
Polynomial Kernel SVM,8,_,_,0.10000,0.10000,_,_,85.505,14.495,0.28365
Polynomial Kernel SVM,8,_,_,0.10000,1.00000,_,_,85.505,14.495,0.28365
Quadratic SVM,9,_,_,0.01000,0.00010,_,_,91.527,8.473,0.28393
Quadratic SVM,9,_,_,0.01000,0.00100,_,_,91.527,8.473,0.28393
Quadratic SVM,9,_,_,0.01000,0.01000,_,_,91.527,8.473,0.28393
Quadratic SVM,9,_,_,0.01000,0.10000,_,_,91.527,8.473,0.28393
Quadratic SVM,9,_,_,0.01000,1.00000,_,_,91.527,8.473,0.28393
Quadratic SVM,0,_,_,0.00100,0.00010,_,_,95.656,4.344,0.28455
Quadratic SVM,0,_,_,0.00100,0.00100,_,_,95.656,4.344,0.28455
Quadratic SVM,0,_,_,0.00100,0.01000,_,_,95.656,4.344,0.28455
Quadratic SVM,0,_,_,0.00100,0.10000,_,_,95.656,4.344,0.28455
Quadratic SVM,0,_,_,0.00100,1.00000,_,_,95.656,4.344,0.28455
Polynomial Kernel SVM,7,_,_,0.00010,0.00010,_,_,95.140,4.860,0.28459
Polynomial Kernel SVM,7,_,_,0.00010,0.00100,_,_,95.140,4.860,0.28459
Polynomial Kernel SVM,7,_,_,0.00010,0.01000,_,_,95.140,4.860,0.28459
Polynomial Kernel SVM,7,_,_,0.00010,0.10000,_,_,95.140,4.860,0.28459
Polynomial Kernel SVM,7,_,_,0.00010,1.00000,_,_,95.140,4.860,0.28459
Quadratic SVM,6,_,_,0.00100,0.00010,_,_,95.011,4.989,0.28459
Quadratic SVM,6,_,_,0.00100,0.00100,_,_,95.011,4.989,0.28459
Quadratic SVM,6,_,_,0.00100,0.01000,_,_,95.011,4.989,0.28459
Quadratic SVM,6,_,_,0.00100,0.10000,_,_,95.011,4.989,0.28459
Quadratic SVM,6,_,_,0.00100,1.00000,_,_,95.011,4.989,0.28459
Radial Basis Function Kernel SVM,5,_,_,0.00100,1.00000,_,_,65.591,34.409,0.28465
Quadratic Logistic Regression,9,0.500,0.1000000,_,_,_,_,95.398,4.602,0.28490
Radial Basis Function Kernel SVM,0,_,_,0.00100,0.10000,_,_,65.591,34.409,0.28559
Radial Basis Function Kernel SVM,0,_,_,0.01000,0.10000,_,_,65.591,34.409,0.28559
Polynomial Kernel SVM,6,_,_,0.00010,0.00010,_,_,95.398,4.602,0.28613
Polynomial Kernel SVM,6,_,_,0.00010,0.00100,_,_,95.398,4.602,0.28613
Polynomial Kernel SVM,6,_,_,0.00010,0.01000,_,_,95.398,4.602,0.28613
Polynomial Kernel SVM,6,_,_,0.00010,0.10000,_,_,95.398,4.602,0.28613
Polynomial Kernel SVM,6,_,_,0.00010,1.00000,_,_,95.398,4.602,0.28613
Quadratic SVM,6,_,_,0.00010,0.00010,_,_,95.269,4.731,0.28645
Quadratic SVM,6,_,_,0.00010,0.00100,_,_,95.269,4.731,0.28645
Quadratic SVM,6,_,_,0.00010,0.01000,_,_,95.269,4.731,0.28645
Quadratic SVM,6,_,_,0.00010,0.10000,_,_,95.269,4.731,0.28645
Quadratic SVM,6,_,_,0.00010,1.00000,_,_,95.269,4.731,0.28645
Radial Basis Function Kernel SVM,0,_,_,0.10000,0.10000,_,_,65.591,34.409,0.28684
Polynomial Kernel SVM,0,_,_,0.00100,0.00010,_,_,95.570,4.430,0.28705
Polynomial Kernel SVM,0,_,_,0.00100,0.00100,_,_,95.570,4.430,0.28705
Polynomial Kernel SVM,0,_,_,0.00100,0.01000,_,_,95.570,4.430,0.28705
Polynomial Kernel SVM,0,_,_,0.00100,0.10000,_,_,95.570,4.430,0.28705
Polynomial Kernel SVM,0,_,_,0.00100,1.00000,_,_,95.570,4.430,0.28705
Radial Basis Function Kernel SVM,5,_,_,1.00000,0.00100,_,_,95.441,4.559,0.28895
